Full Name;Passport Number;Date of Birth;Nationality;Visa Type;Arrival Date;Departure Date;Immigration Status
Renee Hanson;487849465;1994-09-19;Kyrgyz Republic;Tourist;2008-02-17;2023-05-25;Pending
Jennifer Miller;772315945;1974-12-23;Venezuela;Work;2022-01-20;2011-03-13;Expired
Megan Silva;587835518;1965-04-30;Eritrea;Tourist;2010-02-01;2023-05-14;Pending
Cody Stephens;492109403;2005-02-21;Aruba;Student;2019-06-22;2017-11-01;Expired
Melissa Mathis;919399470;1991-07-24;Malaysia;Student;2009-03-03;2008-07-11;Expired
Mary Osborn;440235998;1999-11-15;Eritrea;Work;2010-10-11;2000-11-26;Expired
Kristi Noble;397516266;1961-05-04;Maldives;Student;2022-05-13;2012-03-17;Pending
Kathleen Fields;207263338;1964-03-22;Kenya;Work;2011-09-15;2010-06-01;Expired
Renee Ortiz;718955964;1957-05-09;Kyrgyz Republic;Student;2022-07-15;2010-03-12;Valid
Austin Wilson;191996633;1991-10-17;Micronesia;Diplomatic;2008-05-28;2023-09-26;Expired
Ricky Neal MD;720242480;1990-06-20;Austria;Tourist;2006-02-24;2001-01-15;Pending
Amber Sanford;318224119;1999-09-14;Austria;Diplomatic;2007-10-27;2018-06-14;Valid
Donald Phillips;514135913;1956-03-06;Fiji;Diplomatic;2002-02-13;2020-11-08;Pending
Aaron Watson;151741378;1997-07-16;Seychelles;Diplomatic;2000-08-05;2006-09-01;Expired
Mark Valencia;606630453;1959-06-17;Antarctica (the territory South of 60 deg S);Student;2022-02-06;2010-04-09;Pending
Shannon Ayala;932251422;1966-09-27;Jordan;Tourist;2023-10-15;2002-04-27;Valid
Thomas Velazquez;970867661;1968-11-06;Honduras;Student;2007-04-27;2022-05-01;Valid
Kevin Ellis;948685766;1964-10-24;Nigeria;Student;2007-06-18;2007-09-23;Expired
Kimberly Salinas;163750106;1997-10-23;Turks and Caicos Islands;Tourist;2020-12-18;2004-05-07;Pending
Earl Johnson;768438196;1969-03-01;Netherlands Antilles;Diplomatic;2004-07-09;2003-03-01;Valid
Robert Norris;465438234;1968-01-02;United States of America;Diplomatic;2014-05-22;2019-06-10;Expired
Rebecca Bishop;401164981;1993-05-16;Martinique;Student;2006-03-21;2010-03-03;Pending
Brooke Hobbs;563335527;1986-01-15;Denmark;Diplomatic;2005-09-11;2019-09-15;Pending
Kimberly Gutierrez;717505826;1982-07-30;Puerto Rico;Tourist;2010-04-15;2018-05-17;Valid
Tara Clark;691438889;1996-09-07;Eritrea;Work;2016-03-02;2013-11-05;Expired
Sandra Olsen;692865422;1993-02-14;Albania;Diplomatic;2000-01-02;2010-03-17;Valid
Kimberly Rodriguez;809790405;2003-05-15;Morocco;Student;2013-10-31;2021-03-18;Pending
Martin Wolfe;716874582;1965-03-21;Turkmenistan;Student;2022-09-11;2019-03-10;Expired
Alexandria Woodward;552887775;1959-11-12;Chad;Work;2018-05-12;2014-03-02;Pending
Robert Cohen;606100089;1977-07-27;Saint Vincent and the Grenadines;Diplomatic;2008-10-01;2002-08-27;Expired
Mark Rodriguez;722387697;2001-04-28;Malaysia;Diplomatic;2010-12-28;2008-04-27;Expired
Joel Sexton;527322301;1965-12-14;Ireland;Student;2011-09-10;2017-11-23;Pending
Michael Zimmerman;562507215;2001-10-15;Haiti;Student;2008-07-21;2017-06-22;Expired
Wendy Michael;211491740;1959-03-19;Sweden;Tourist;2010-03-25;2006-09-25;Valid
Christine Nelson;683651242;1959-04-03;Myanmar;Diplomatic;2008-04-12;2004-09-25;Expired
Bradley Clark;701724619;1979-12-08;Denmark;Tourist;2003-12-27;2020-09-27;Valid
Wendy Yoder;720450446;1982-11-14;Western Sahara;Diplomatic;2007-11-14;2021-12-10;Valid
Anthony Smith;597181169;1980-06-01;Ukraine;Tourist;2006-04-10;2005-03-24;Expired
Gregory Brown;184533550;1967-07-18;Singapore;Student;2015-03-15;2018-12-28;Pending
Harold Reyes;671228143;2005-08-29;Sweden;Student;2000-03-13;2023-08-08;Expired
Jay Williams;121041683;1999-12-10;United States Virgin Islands;Student;2017-06-01;2019-09-28;Valid
Samuel Campbell;744647536;2005-06-06;Reunion;Work;2021-03-15;2016-12-30;Pending
Jeffrey Kennedy;864998714;1995-01-07;Cote d'Ivoire;Diplomatic;2002-05-21;2002-02-20;Expired
Mariah Wilson;483161959;1975-05-11;Comoros;Tourist;2003-07-16;2005-01-05;Expired
Rachel Evans;785097190;1961-10-10;Bangladesh;Tourist;2021-01-26;2009-08-15;Pending
Erin Fernandez;823348735;1991-11-15;Netherlands;Student;2003-05-11;2000-01-28;Valid
Casey Johnston;503577705;1996-05-18;Eritrea;Student;2009-02-26;2004-05-08;Expired
Sean Smith;7365892;1989-09-17;Brazil;Diplomatic;2007-09-15;2023-05-06;Pending
Nicole Nicholson;237469307;1993-12-17;Turks and Caicos Islands;Work;2020-08-12;2012-05-07;Pending
Debra Guzman;561171444;1969-01-28;Saint Kitts and Nevis;Work;2023-07-01;2010-10-11;Expired
Manuel Nelson;595050584;1976-09-05;Congo;Tourist;2003-03-07;2011-05-12;Valid
Edward Todd;525463495;1982-04-16;Pakistan;Student;2003-07-23;2021-11-23;Valid
Emily King PhD;225804966;1989-07-17;Seychelles;Tourist;2017-07-23;2013-05-31;Valid
April Hall;562369649;1980-11-24;Seychelles;Student;2012-12-23;2016-09-04;Valid
James Weeks DDS;371512994;1979-04-01;Burundi;Tourist;2008-09-28;2017-10-05;Expired
Jody Jacobs;49937359;1993-04-19;Slovakia (Slovak Republic);Tourist;2017-07-02;2022-10-23;Pending
Tracy Rodriguez;71897731;2004-01-03;Palestinian Territory;Student;2014-03-15;2008-10-16;Valid
Patrick Lyons;652646548;1976-03-21;Korea;Diplomatic;2006-09-28;2013-06-19;Valid
Danielle Stephens;690181499;1956-05-29;South Africa;Work;2018-12-12;2019-11-12;Pending
Judy Oconnor;965498024;1985-07-07;France;Diplomatic;2013-05-07;2001-12-22;Expired
Dana Miller;604276130;1997-07-15;Congo;Work;2023-04-30;2007-05-18;Valid
Laura Bishop;242257270;1975-04-05;Australia;Tourist;2019-07-15;2000-07-08;Expired
Steven Graham;293524900;1994-07-28;Haiti;Student;2004-04-09;2023-06-22;Valid
Jennifer Taylor;243468134;1956-07-19;Bulgaria;Diplomatic;2023-03-11;2002-12-19;Expired
Sarah Lewis;245077382;1957-12-26;Northern Mariana Islands;Student;2013-03-19;2009-03-29;Pending
Anita Gallagher;904125573;1969-06-04;Turks and Caicos Islands;Work;2011-06-22;2002-04-14;Valid
David Cooper;442311830;1994-06-20;Chile;Work;2007-08-21;2003-12-02;Expired
Peter Martinez;734141027;1955-05-13;Saint Kitts and Nevis;Diplomatic;2005-03-12;2010-10-21;Pending
Melissa Jones;591115828;1987-05-05;Tunisia;Work;2022-05-26;2001-05-12;Valid
Nicole King;979733893;2002-09-11;Uzbekistan;Student;2021-10-06;2008-01-14;Valid
Amber Perry;56495008;1982-02-07;Kenya;Student;2022-06-04;2005-09-01;Valid
Nicole Robinson;197447527;2002-07-03;Uruguay;Work;2020-12-17;2022-02-11;Pending
Robert Ferguson Jr.;945405969;1978-06-03;Faroe Islands;Student;2021-07-30;2008-03-20;Expired
Adam Alvarado;143176971;1999-09-16;Georgia;Student;2018-10-01;2013-08-25;Expired
Andrew Weeks;265625969;1968-01-12;Mexico;Student;2004-11-25;2002-09-22;Expired
Diane Nicholson;889769488;1989-10-23;Bermuda;Student;2009-01-27;2000-06-18;Pending
Charles Dennis;937485526;1975-03-01;Tonga;Diplomatic;2003-12-08;2017-03-18;Expired
Stacy Bush;1079008;1992-03-17;Morocco;Tourist;2023-07-26;2003-12-17;Expired
Carly Jones;845259512;1954-01-19;Korea;Diplomatic;2022-10-27;2007-07-02;Pending
Audrey Bennett;22868446;1958-10-26;Brunei Darussalam;Student;2010-04-20;2007-05-16;Pending
Mark Baldwin;515719999;2002-07-19;United States Minor Outlying Islands;Diplomatic;2004-11-20;2011-07-26;Pending
Andrew Kim;840571452;1976-10-07;Czech Republic;Student;2003-02-06;2015-09-22;Valid
Timothy Sutton;216564300;1995-04-04;Greenland;Diplomatic;2003-11-25;2018-09-14;Pending
Elizabeth Kennedy;512257333;1981-01-05;San Marino;Work;2009-11-02;2005-03-10;Expired
Kristen Thompson;748466127;1989-01-15;Swaziland;Student;2007-04-02;2016-07-28;Expired
Nancy Lopez;537710626;1994-02-05;Nauru;Tourist;2017-11-27;2010-04-26;Valid
Brittany Shea;80770132;1985-06-25;Qatar;Diplomatic;2015-08-10;2002-11-23;Pending
William Jordan;166493783;2003-11-30;Italy;Student;2012-06-18;2022-08-25;Expired
Christopher Rodriguez;234181035;1969-07-01;Uruguay;Student;2020-02-02;2020-04-29;Pending
John Fuentes;139617354;2003-11-11;Peru;Diplomatic;2002-10-24;2015-12-05;Pending
Stephanie Watson;304403858;1958-05-13;Moldova;Tourist;2014-02-09;2014-10-10;Pending
Leslie Marshall;500729611;1993-12-15;Turks and Caicos Islands;Tourist;2009-03-18;2023-05-05;Pending
Joseph Jefferson;105234546;1962-02-03;Myanmar;Student;2005-01-15;2009-11-26;Expired
Tamara Jensen;833240466;1988-02-12;Cyprus;Student;2009-08-26;2023-10-15;Pending
Tonya Oconnor;238727089;1996-07-13;Germany;Work;2023-04-23;2009-11-21;Expired
Steven Leon;415715601;1981-12-27;Burundi;Student;2012-09-17;2022-03-12;Valid
Leslie Sellers;769104555;1998-04-08;United Arab Emirates;Tourist;2005-04-27;2020-08-13;Pending
Sarah Weber;426783597;1977-10-15;Ethiopia;Work;2007-12-05;2002-07-20;Pending
Michelle White;371483390;1985-02-19;Afghanistan;Diplomatic;2009-02-13;2009-01-04;Pending
Mr. Bradley Thomas;216600784;1954-09-09;Bahamas;Student;2015-08-25;2011-03-04;Expired
Gwendolyn Smith;407336538;1983-02-19;Eritrea;Diplomatic;2018-04-06;2020-01-06;Valid
Abigail Bryant;622163269;1987-05-03;Malaysia;Work;2018-05-18;2015-07-20;Valid
Kelly Anderson;77609242;1958-07-12;Uruguay;Student;2018-06-04;2001-11-06;Pending
Rachel Contreras;763895050;1990-10-31;Japan;Student;2010-11-27;2021-10-09;Valid
Brian Ross;676646297;1954-05-07;Niger;Diplomatic;2005-06-14;2019-01-17;Expired
Joseph Lowery;486387243;1984-03-23;Malaysia;Work;2016-04-19;2005-09-05;Pending
Jeremy Young;494708381;1995-04-25;India;Tourist;2000-05-18;2011-03-12;Pending
Joseph Strong;894279996;1957-12-03;Slovenia;Tourist;2021-04-10;2017-09-28;Pending
Anthony Flores;592843780;1962-08-21;Tajikistan;Tourist;2002-09-27;2012-09-03;Expired
Michael Holden;930096274;1993-12-17;Heard Island and McDonald Islands;Student;2014-05-02;2019-04-04;Expired
Danielle Bishop;81703281;1988-09-21;United States Virgin Islands;Work;2002-11-27;2020-04-30;Expired
Matthew Baxter;341002076;1973-11-03;Azerbaijan;Tourist;2013-08-03;2012-08-23;Pending
Mary Combs;706751788;1973-10-24;Cook Islands;Work;2016-02-15;2019-04-25;Pending
Christine Jacobson;974977394;1972-10-13;Burkina Faso;Work;2016-11-14;2002-08-15;Pending
Sarah Walter;369289380;1954-08-23;Hungary;Work;2009-11-21;2002-05-30;Expired
Yesenia Mcdonald;362235596;1957-04-11;Papua New Guinea;Student;2020-08-18;2012-05-22;Pending
Monica Johnston;467145086;1967-02-18;Liechtenstein;Diplomatic;2014-12-12;2023-04-09;Valid
Michael Walker;974557388;1995-12-20;Greece;Work;2023-07-23;2013-12-01;Pending
Jerry Jones;464790399;1981-04-19;Kyrgyz Republic;Diplomatic;2004-11-13;2014-08-20;Pending
Shawn Rodriguez;339504193;1985-09-18;Tunisia;Work;2013-10-07;2018-01-21;Expired
Shawn Clark;676682054;1986-12-21;Solomon Islands;Student;2004-06-02;2012-08-31;Pending
Tracy Williams DVM;143878963;1996-09-14;Saint Martin;Student;2017-04-28;2017-02-18;Pending
Kevin White;782826220;1972-07-28;Cape Verde;Diplomatic;2020-05-06;2010-04-05;Valid
Travis Anderson;803039490;1959-06-11;Seychelles;Diplomatic;2009-05-12;2000-02-15;Expired
Teresa Soto;862677081;2002-10-24;Mali;Diplomatic;2002-04-11;2000-12-22;Pending
Katherine Whitney MD;459051054;1961-04-07;Kenya;Diplomatic;2015-01-19;2018-06-28;Expired
Laura Mccarthy;204404686;1979-03-02;Papua New Guinea;Student;2020-04-15;2015-01-05;Expired
Robert Ramos;818620272;1956-04-03;Svalbard & Jan Mayen Islands;Work;2023-02-10;2010-03-18;Expired
Robert Hoffman;75516863;1966-09-16;Angola;Tourist;2016-03-09;2006-03-22;Pending
Trevor Campbell;889748994;1985-03-04;Peru;Tourist;2006-11-09;2012-10-12;Pending
Barbara Mathews;466422726;1959-10-04;Zambia;Tourist;2020-01-17;2018-12-31;Expired
David Gallegos;603340277;1972-09-05;Paraguay;Work;2015-08-06;2001-12-02;Expired
Kimberly Smith;194930440;1959-09-18;Aruba;Diplomatic;2015-12-05;2004-03-10;Valid
Craig Miller;473171039;1982-05-13;South Africa;Tourist;2001-05-06;2022-11-18;Expired
Mr. David Kennedy MD;380612907;2004-03-18;Saint Martin;Diplomatic;2014-08-22;2019-02-16;Valid
Kevin Moreno;60479725;1998-03-04;Russian Federation;Student;2022-11-13;2020-06-21;Pending
Isabella Richardson;630568007;1961-04-16;Argentina;Diplomatic;2009-04-08;2016-12-01;Expired
Lisa Adams;260147558;1961-12-12;Iraq;Diplomatic;2021-10-27;2002-10-18;Valid
Kelli Sanchez;492127285;1976-04-21;Iraq;Student;2021-01-08;2016-12-10;Expired
Darren Lowery;112992285;1983-10-31;Equatorial Guinea;Diplomatic;2017-11-13;2014-11-04;Expired
Hannah Long;818964674;1961-08-31;Martinique;Work;2019-05-01;2008-10-13;Pending
Ariel Wood;334942925;1980-05-11;Estonia;Student;2012-02-05;2009-12-23;Expired
Danielle Barajas;163799441;2001-03-02;Kazakhstan;Diplomatic;2022-10-16;2020-02-13;Expired
Raymond Brooks;893213965;2000-06-24;Norfolk Island;Diplomatic;2003-03-29;2017-01-05;Valid
James Hall;271836786;1984-09-27;Barbados;Work;2014-10-02;2007-05-24;Valid
Jamie Benson;955872834;1995-03-03;American Samoa;Work;2004-10-12;2010-04-07;Expired
Kathryn Stark;909546782;1964-05-08;Greenland;Student;2011-02-10;2000-03-20;Pending
Brooke Miller;184825053;1968-10-02;Venezuela;Tourist;2010-04-10;2011-04-13;Expired
Elizabeth Foster;225126630;1966-07-13;Bermuda;Tourist;2022-08-11;2020-08-26;Expired
John Ayala;840781632;2000-09-28;Central African Republic;Work;2008-03-06;2013-08-23;Valid
Laura Smith;803178145;2001-01-19;Lithuania;Diplomatic;2011-03-20;2009-06-30;Expired
Karen Stokes;393792201;1988-02-13;Brazil;Diplomatic;2019-10-15;2013-02-07;Valid
Christopher Ramos;801393473;1978-08-27;Uruguay;Tourist;2016-04-06;2000-11-22;Valid
Michaela Carrillo;318478343;1985-08-07;Canada;Student;2018-10-02;2000-06-20;Pending
Johnny Wilkins;801357616;1992-04-20;Antarctica (the territory South of 60 deg S);Diplomatic;2019-04-07;2023-08-24;Pending
Tracy Barber;110765278;2005-04-11;Barbados;Tourist;2015-03-18;2002-06-23;Valid
Dale Rowe;866687307;1983-10-15;Northern Mariana Islands;Work;2008-06-28;2011-05-16;Valid
Brenda Cameron;184542977;1993-12-27;Seychelles;Student;2013-06-20;2000-12-15;Valid
Shelly Coleman;984619319;1978-09-04;Switzerland;Diplomatic;2010-04-30;2005-11-08;Expired
James Crosby;933038526;1970-05-11;Serbia;Work;2013-12-01;2005-08-21;Valid
Jessica Kidd;234153005;1984-01-06;India;Work;2001-10-12;2013-07-22;Expired
James Lopez;586921161;1961-03-24;Gabon;Tourist;2000-12-01;2000-12-16;Expired
Michelle Walker;860750568;1960-11-04;North Macedonia;Tourist;2013-01-17;2018-07-08;Expired
Ann Cooley;740567538;1999-05-06;Bosnia and Herzegovina;Tourist;2022-09-09;2020-05-03;Expired
Katherine Cummings;237068285;1983-04-18;Japan;Tourist;2022-05-21;2013-05-18;Pending
Joshua Leblanc;543665352;1984-07-17;Chile;Work;2005-03-13;2022-02-15;Expired
Barbara Chapman;634234028;1977-10-31;Seychelles;Diplomatic;2020-01-19;2008-11-01;Pending
Jasmin Medina;106166364;2003-03-10;Sweden;Tourist;2012-06-04;2000-11-13;Pending
Brittany Hunt;92361814;1972-08-14;Argentina;Work;2010-01-19;2014-08-31;Valid
Christopher Johnson;910617649;1975-07-07;Yemen;Student;2014-06-04;2016-10-13;Valid
Yesenia Swanson;398067258;1990-11-05;Paraguay;Student;2006-09-10;2021-11-23;Valid
Ruben Delgado;437778368;1972-06-26;Paraguay;Tourist;2006-06-21;2017-03-19;Valid
Jessica Jackson;934425392;1978-08-31;Bhutan;Work;2004-09-06;2013-08-04;Pending
Kelly Nunez;471059958;1966-12-09;Andorra;Work;2021-04-27;2020-01-21;Expired
Nicole Mitchell;768794460;1998-09-13;Albania;Tourist;2012-11-12;2019-09-25;Pending
Michelle Doyle;945274105;1959-10-27;Montserrat;Diplomatic;2021-09-21;2013-10-14;Valid
Anthony Perry;887568883;1982-11-22;Sweden;Work;2021-06-06;2022-09-10;Valid
Laura Bailey;438153355;2003-11-16;Bangladesh;Diplomatic;2009-07-22;2005-10-24;Expired
Amanda Crawford;13026650;1961-03-22;Anguilla;Tourist;2016-12-14;2001-12-26;Pending
Kathleen Snyder;232364025;1975-08-21;Gibraltar;Student;2007-01-03;2016-12-14;Valid
Trevor Simmons Jr.;161434260;1976-03-14;Yemen;Student;2013-12-31;2004-11-25;Pending
Rebecca Osborne;400177933;2003-07-28;Bosnia and Herzegovina;Student;2005-09-29;2014-01-19;Expired
Timothy Lindsey;34853672;1982-07-23;Iran;Student;2014-07-06;2021-08-17;Valid
Justin Burke;454544934;1978-11-23;Ireland;Student;2012-01-27;2017-10-20;Valid
Cynthia Berry;88426406;1965-01-31;Mayotte;Work;2001-09-20;2017-11-20;Pending
Robert Gill;373357044;2002-02-21;Burundi;Diplomatic;2009-03-14;2020-05-03;Pending
Emily Hubbard;465777751;1953-09-23;Liechtenstein;Student;2005-02-14;2007-04-06;Pending
Ricky Richardson;554337455;1996-06-11;Rwanda;Diplomatic;2021-10-13;2014-05-17;Expired
Carrie Huber;350148101;1969-11-19;Bhutan;Diplomatic;2015-05-25;2022-02-25;Expired
Natalie Walker;803385197;1976-10-25;Martinique;Diplomatic;2014-05-23;2014-11-24;Valid
Lisa Jensen;990313950;1966-09-24;Iceland;Diplomatic;2000-01-17;2004-06-08;Pending
Matthew Price;721800988;1959-11-08;Malawi;Tourist;2000-05-24;2000-01-20;Pending
Robert Patel;352411221;1981-10-25;Thailand;Tourist;2017-01-14;2022-06-29;Expired
Douglas Mayo;636344944;1974-12-20;Saudi Arabia;Diplomatic;2006-06-04;2005-07-11;Valid
Samuel Rowe;738342829;1963-01-13;Marshall Islands;Student;2000-08-22;2015-08-25;Pending
Catherine Kirby;652907431;1964-08-16;Liechtenstein;Work;2004-12-19;2009-04-29;Valid
Paul Clark;640781582;1973-02-28;Sri Lanka;Diplomatic;2003-05-14;2002-06-17;Expired
Jill Knight;453533337;1989-07-18;Spain;Student;2009-01-20;2003-03-01;Valid
Denise Anderson;356393886;2004-05-12;Argentina;Diplomatic;2010-04-13;2013-11-24;Valid
Amanda Moore;272631414;1961-04-29;Iceland;Tourist;2011-11-02;2023-09-06;Pending
Danielle Morales;729464713;1984-07-07;Saint Martin;Diplomatic;2001-06-26;2002-08-26;Valid
Jeffrey Hampton;939782047;1990-09-06;Korea;Work;2004-01-11;2003-04-09;Pending
Stephanie Castillo;247864049;1991-09-09;Argentina;Diplomatic;2013-03-05;2017-09-26;Pending
Gina Huff;481298525;1976-02-06;Greece;Tourist;2005-01-26;2001-04-24;Pending
Lindsey Norman;949789295;1955-06-04;Mauritius;Tourist;2022-12-13;2014-09-07;Pending
Jennifer Barron;575009099;1962-11-10;Honduras;Diplomatic;2014-07-18;2015-04-30;Expired
Tanner Williams;442891735;1991-04-19;Georgia;Diplomatic;2002-04-06;2009-10-21;Pending
Adam Smith;931820798;2003-05-03;Zimbabwe;Work;2003-01-17;2017-10-25;Pending
Sean Miles;67156769;1979-10-14;Austria;Diplomatic;2000-05-11;2016-02-28;Valid
Rodney Graves;485109900;1984-05-24;Iceland;Tourist;2012-07-23;2009-10-03;Valid
Tara Nguyen;813288060;1998-10-26;South Georgia and the South Sandwich Islands;Student;2015-05-17;2023-07-07;Valid
Isabella Washington;532951648;1972-11-28;Mongolia;Tourist;2015-06-28;2013-02-24;Valid
Stephanie Williams;701539170;1953-11-04;Pakistan;Tourist;2008-07-10;2020-11-27;Valid
James Jones;684915137;1957-10-11;Sweden;Student;2011-09-01;2018-09-03;Expired
Pamela Watson;248884191;1992-12-14;Solomon Islands;Student;2023-01-11;2015-09-07;Valid
Colin Rhodes;373978432;1958-02-09;United States Minor Outlying Islands;Tourist;2006-09-16;2020-08-31;Expired
Gabriel Smith DDS;971261506;1988-03-19;Kiribati;Student;2016-02-12;2013-02-23;Pending
Madison Palmer;869022200;1961-11-18;Nigeria;Student;2016-08-22;2016-08-21;Pending
Joseph Johns;295039408;1961-05-16;Syrian Arab Republic;Tourist;2021-07-11;2015-12-17;Expired
Kelly Reyes;42068433;1957-09-02;Kiribati;Diplomatic;2004-11-26;2004-03-07;Expired
Matthew Martinez;259928133;1957-12-15;Peru;Diplomatic;2018-03-06;2022-08-08;Expired
Deanna Munoz;749911680;1998-08-16;Martinique;Work;2007-02-25;2006-11-26;Valid
Madison Diaz;800413999;1976-03-09;Liberia;Work;2001-04-05;2012-04-29;Pending
Keith Johnson;934380606;1990-06-19;Montenegro;Work;2013-07-25;2001-08-03;Valid
Mary Velez DVM;734389118;1971-08-10;Taiwan;Work;2012-07-20;2000-08-26;Valid
Paul Miller;413059304;1973-10-06;Jordan;Tourist;2003-08-03;2018-09-06;Pending
Dana Morales;377314133;1960-03-25;Kenya;Student;2006-12-02;2014-02-10;Expired
David Smith;315943799;1974-08-03;Madagascar;Student;2009-03-14;2000-10-30;Pending
Christian Zuniga;888090410;1969-11-21;Paraguay;Diplomatic;2002-08-20;2020-12-04;Valid
Peter Cohen;528470418;1960-10-16;Denmark;Student;2013-06-15;2013-12-19;Pending
Ronald Peterson;347396882;1966-03-29;Senegal;Diplomatic;2009-08-06;2009-03-01;Expired
Jason Hudson;337648477;1990-02-12;Slovenia;Student;2020-03-09;2019-10-27;Pending
Rhonda Olsen;815496737;1994-05-25;Italy;Tourist;2007-01-21;2010-12-17;Pending
Susan Smith;825884465;1963-04-10;Azerbaijan;Diplomatic;2011-04-14;2023-06-26;Expired
Kristin Jones;80068013;1971-06-16;Nigeria;Student;2017-06-06;2009-04-17;Pending
Albert Lutz;463671115;1964-01-23;Nepal;Student;2008-06-18;2010-03-26;Pending
Timothy Lang;752393186;1962-08-04;Bangladesh;Work;2023-03-10;2021-06-26;Pending
Heather Bell;987234868;1961-03-11;Angola;Tourist;2002-09-27;2019-06-13;Expired
Jeffrey Vaughan;95984401;1989-03-16;Falkland Islands (Malvinas);Tourist;2018-02-13;2009-10-03;Pending
Cheyenne Rodriguez;510096546;1964-01-26;Senegal;Work;2012-07-07;2011-05-12;Expired
John Scott;489421266;1954-08-31;Northern Mariana Islands;Diplomatic;2007-03-16;2012-08-23;Valid
Robert Ryan;118993220;1988-08-19;Marshall Islands;Student;2019-07-29;2007-05-10;Pending
Justin Rodriguez;994118812;1964-09-21;China;Student;2019-01-25;2021-06-15;Expired
Andrew Rivera;668505822;1984-07-25;Tonga;Tourist;2020-05-12;2000-12-10;Valid
Kevin Barajas;531866271;1991-10-14;Slovenia;Student;2015-03-14;2020-02-20;Valid
Rebecca Johnson;131377811;1976-11-20;Bahrain;Tourist;2017-10-24;2022-04-27;Pending
Kerry Berger;555790503;1981-01-01;Ghana;Diplomatic;2013-07-31;2015-06-29;Expired
Terri Herman;759993593;1977-03-15;Antigua and Barbuda;Work;2014-11-12;2017-02-22;Expired
Brenda Sanchez;926747791;1966-08-11;Puerto Rico;Student;2008-11-28;2014-01-02;Expired
Sheila Nguyen;262491499;1971-12-14;Djibouti;Diplomatic;2001-11-29;2011-12-11;Valid
Billy Lee;396406838;1990-04-29;Venezuela;Work;2021-01-24;2013-12-14;Pending
Sandra Thomas;447972433;1965-05-07;Netherlands Antilles;Diplomatic;2021-10-10;2009-05-10;Expired
Rachael King;455810386;1966-10-18;South Africa;Work;2015-11-07;2011-02-06;Expired
Kevin Mosley;250330597;1978-02-28;Bangladesh;Diplomatic;2014-07-24;2013-11-01;Valid
Alicia Jones;271940994;1995-01-23;Finland;Tourist;2012-02-05;2005-05-22;Expired
Joseph Allen;852306710;1978-05-11;Tonga;Student;2021-10-15;2013-05-15;Expired
Jessica Robinson;78328708;1998-08-14;Andorra;Diplomatic;2016-10-17;2004-04-21;Pending
Curtis Nelson;613771771;1970-10-20;Haiti;Student;2015-03-05;2009-03-30;Valid
Ryan Gibson;564171127;1960-06-21;Taiwan;Tourist;2008-10-17;2020-03-13;Pending
Mary Williams;651598456;1968-10-09;Sweden;Diplomatic;2006-11-15;2022-05-15;Pending
Tyler Gordon DDS;39632968;1968-06-16;British Indian Ocean Territory (Chagos Archipelago);Diplomatic;2003-03-13;2001-04-02;Valid
Mikayla Kelly;689364910;1975-09-21;Holy See (Vatican City State);Work;2019-09-05;2003-08-28;Pending
Brendan Jackson;218611408;1992-04-15;Namibia;Work;2005-07-21;2007-08-07;Expired
Christina Pineda;241730884;1959-10-11;Tokelau;Work;2016-11-20;2006-08-11;Pending
Arthur Huerta;346481435;1999-03-13;Denmark;Tourist;2013-05-29;2018-10-16;Valid
Michelle Ibarra;576019858;1976-10-14;Armenia;Work;2015-09-03;2015-10-14;Expired
Brandon Garcia;607673552;1974-03-25;Papua New Guinea;Work;2010-09-27;2014-08-04;Valid
Henry Martin;438172176;2002-07-04;Madagascar;Student;2020-01-03;2006-01-10;Expired
Caroline Martin;343687465;2005-05-18;French Guiana;Tourist;2018-10-19;2011-09-01;Pending
Kathy Jones;127179058;1956-05-19;Pitcairn Islands;Tourist;2021-11-15;2006-10-17;Expired
Evelyn Allen;467312017;1964-07-05;Palestinian Territory;Tourist;2022-01-12;2004-12-03;Valid
Adam Holmes;352146553;1960-05-06;Dominica;Tourist;2003-08-21;2002-09-19;Expired
Carl Pitts;230436485;1986-04-07;Tunisia;Student;2001-03-08;2008-12-19;Expired
Mrs. Courtney Harrison;235690289;1974-02-18;Jersey;Student;2007-11-26;2019-08-31;Valid
Zoe Reed;934198743;1974-05-27;Iran;Tourist;2023-02-09;2001-12-07;Expired
Nichole Miller;329017910;1986-09-17;Panama;Tourist;2011-07-07;2014-03-04;Valid
Megan Stephens;748668710;1964-04-06;Brunei Darussalam;Tourist;2014-01-19;2007-06-20;Pending
William Harmon;616491803;1974-10-29;Mauritania;Tourist;2006-07-05;2019-08-13;Valid
Christina Washington;442033110;2002-09-24;Brazil;Diplomatic;2022-03-02;2008-07-29;Valid
David Rivera;999063325;1998-10-12;Slovakia (Slovak Republic);Diplomatic;2004-07-10;2016-06-28;Expired
Brittany Bolton;641035288;1973-12-04;Ireland;Student;2007-05-21;2012-06-01;Expired
Anthony Hall;71118536;2001-07-07;Sao Tome and Principe;Diplomatic;2018-06-06;2015-03-05;Valid
Michelle Taylor;685126427;1967-12-03;Uganda;Student;2005-08-11;2015-09-06;Pending
Kathleen Allison;777210192;1990-02-12;Liberia;Student;2017-08-19;2008-09-15;Pending
Connor Franklin;948878203;1969-01-20;Lesotho;Tourist;2008-05-11;2016-08-18;Valid
Thomas Morgan;829343133;1966-07-09;Wallis and Futuna;Work;2012-07-30;2000-12-23;Valid
